UserId,Reputation,ViewCount,UpVotes,Answers_to_Questions,Total_Answer_Score,Comments_to_Questions,Total_c2q_Score,Comments_to_Answers,Total_c2a_Score
"1946","165508","80551","9260","1287","14835","1747","2289","2883","2659"
"297","107659","48395","18123","1060","9684","1038","1713","1405","1606"
"6094","86495","26175","13985","711","4452","1312","833","1362","807"
"11260","80484","15984","1965","566","3502","432","427","251","145"
"11142","79780","24660","4126","1424","5300","1388","1293","1347","1038"
"290","77711","94871","9392","726","8623","2619","5167","1666","3492"
"13972","74106","31221","1064","527","5245","627","1050","592","548"
"18060","68686","41979","839","682","3374","1029","831","1079","498"
"2384","63910","30057","8490","501","4593","411","611","373","287"
"11919","59265","19524","3884","446","3695","645","752","815","513"
"6794","58643","16205","639","621","5619","567","992","778","1220"
"766","58250","153456","911","265","7131","387","1476","330","1931"
"14830","56747","37850","4671","315","4389","771","1867","671","1184"
"4312","52155","18114","3795","219","1281","407","404","330","214"
"25510","51243","16628","562","608","3955","394","394","447","318"
"1149","51106","37332","6837","472","5924","1001","2560","1407","3181"
"2874","50476","33780","6300","408","5949","697","1916","649","878"
"1345","50024","18543","1866","452","3811","596","823","458","419"
"7460","48718","10504","1867","446","3337","350","691","395","183"
"1450","47625","31250","960","415","5329","203","629","604","1075"
"2926","43886","22984","3333","441","4433","1303","3020","1620","3204"
"13650","43506","10454","856","609","2442","344","419","356","291"
"4231","41982","22563","2860","607","3696","1161","938","745","493"
"6666","40290","16744","184","349","3402","610","1377","538","979"
"360","39550","18040","3741","240","2930","332","641","320","397"
"6101","38898","20969","2420","525","3018","908","1132","713","919"
"49","38004","11504","1145","251","1979","371","437","637","726"
"1131","37735","29911","1444","327","3479","710","1047","564","735"
"1409","37645","26507","423","442","4702","1729","4174","1351","3178"
"2000","37229","17491","7467","352","3900","965","1576","979","931"
"121","37227","22136","17676","594","3839","1518","2190","781","1307"
"10076","36939","10409","859","484","3133","234","227","550","377"
"10366","36788","12643","2334","290","2467","219","579","133","308"
"6976","35556","41185","2213","335","2650","684","678","689","372"
"3106","35288","14592","3848","304","4359","280","595","450","1126"
"38624","34893","16250","2514","179","2173","312","905","203","343"
"450","33793","14362","1012","231","3752","203","784","455","1051"
"2841","33257","47029","3193","306","2532","1214","1336","1132","1326"
"66","32814","24416","1975","422","2955","517","935","459","864"
"1465","32217","20471","2066","356","3101","1526","2673","749","1150"
"317","32049","19524","4008","248","3071","484","1865","461","1196"
"11926","31226","10051","924","260","2216","226","495","224","255"
"1176","31223","13016","883","216","2688","349","650","516","996"
"3684","30737","15252","4630","585","4452","1650","2433","942","2150"
"3272","30487","19603","745","203","3808","807","2402","774","2205"
"12705","30383","10322","6687","316","2371","1187","1582","1100","1050"
"14450","29995","7201","732","349","2263","400","543","396","188"
"78","29919","21469","1945","253","2059","1109","1514","663","401"
"8799","29911","17154","1938","374","2557","335","442","339","446"
"2807","29334","16944","229","252","3455","241","649","136","289"
"14094","29108","15757","1056","177","1179","1281","1300","549","364"
"454","28215","10580","259","497","3199","802","1407","534","1029"
"1384","28122","25326","331","176","2537","938","2367","846","1600"
"5690","27978","14219","4166","248","2396","529","968","437","703"
"35840","27502","4463","1787","234","1806","377","639","212","176"
"4354","27423","13352","673","223","2394","176","288","225","235"
